HasURL,URLCount,FreeEmail,SubjectLength,BodyLength,KeywordCount,Label
0,0,0,22,225,0,1
1,1,0,15,383,0,1
1,13,0,48,4246,2,0
1,24,0,20,3918,0,1
0,0,0,62,147,1,1
1,24,0,20,3891,0,1
1,1,0,33,320,0,1
1,24,0,20,3918,0,1
1,3,0,60,1201,0,0
1,0,0,3,430,0,1
1,1,0,33,302,0,1
1,2,0,64,535,0,0
0,0,0,27,2341,0,0
1,24,0,20,3918,0,1
1,4,1,54,609,0,0
0,0,0,150,682,0,0
1,1,1,38,871,0,0
1,3,0,54,426,0,0
0,0,0,33,588,0,0
0,0,0,37,972,2,0
0,0,0,37,608,1,0
0,0,0,10,125,0,1
1,24,0,20,3918,0,1
1,1,0,39,87,0,1
1,5,0,50,1963,0,0
1,1,0,31,67,0,1
1,24,0,20,3918,0,1
1,1,0,32,149,0,1
1,24,0,20,3918,0,1
1,4,0,71,12112,1,0
1,1,0,49,117,0,1
1,1,0,40,93,0,1
1,3,0,56,501,0,1
1,3,0,56,493,0,1
1,1,0,67,238,0,1
1,24,0,20,3918,0,1
1,1,0,37,13883,0,0
1,12,0,37,3273,0,0
1,10,0,39,3198,1,0
0,0,0,25,850,0,0
1,1,0,86,323,0,0
0,0,0,51,2392,0,0
1,1,0,58,434,0,0
0,0,0,66,4514,2,0
1,1,0,10,90,0,1
1,3,0,70,3551,1,0
1,1,0,37,46219,1,0
0,0,0,39,155,1,1
1,1,0,183,469,0,1
1,24,0,20,3894,0,1
1,24,0,20,3893,0,1
1,24,0,20,3918,0,1
0,0,0,116,88,0,1
0,0,0,20,92,0,1
1,2,0,86,1085,0,0
1,3,0,58,640,0,0
0,0,0,29,928,0,0
1,5,0,54,847,0,0
0,0,0,29,1785,2,1
1,2,0,68,2044,0,0
1,2,0,39,13529,1,0
1,1,0,37,47712,1,0
0,0,1,33,957,0,0
1,1,0,22,127,1,1
1,5,0,63,3338,2,0
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
1,1,0,45,398,0,1
1,1,0,33,308,0,1
1,1,0,39,249,0,1
1,1,0,32,149,1,1
1,1,0,27,173,0,1
0,0,0,24,299,0,1
1,1,0,37,51321,2,0
1,24,0,20,3918,0,1
1,1,0,34,97,0,1
1,1,0,37,13953,0,0
1,24,0,20,3918,0,1
0,0,0,151,815,0,0
0,0,0,26,375,0,0
1,1,0,67,476,0,0
1,1,0,67,323,0,0
1,2,0,78,2780,0,0
1,4,0,19,2807,2,0
1,14,0,36,14596,1,0
1,1,0,85,173,0,1
0,0,0,15,368,0,1
1,1,0,37,36631,0,0
1,1,0,22,331,0,1
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
0,0,0,70,4463,0,0
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
1,2,0,30,161,0,1
0,0,0,20,3483,1,0
1,1,0,30,122,0,1
1,1,0,30,105,0,1
1,2,1,57,649,0,1
1,1,0,31,125,0,1
1,1,0,28,2742,0,0
0,0,0,31,8128,1,0
1,7,1,51,8183,2,0
1,2,0,86,1654,0,0
1,4,0,36,9651,0,0
1,1,0,37,26295,0,0
1,4,1,66,1366,1,0
1,24,0,20,3892,0,1
1,85,0,78,16932,1,0
1,1,0,32,110,0,1
1,1,0,39,1860,0,0
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
1,1,0,30,4595,0,0
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
1,24,0,20,3893,0,1
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
1,4,0,28,1207,0,0
1,1,0,35,84,0,1
1,24,0,20,3918,0,1
0,0,0,22,200,0,1
1,3,1,33,1961,0,0
1,1,0,21,298,0,1
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
0,0,1,14,1514,2,0
1,24,0,20,3918,0,1
1,1,0,105,3148,0,0
1,24,0,20,3892,0,1
1,1,0,37,33228,0,0
1,24,0,20,3891,0,1
1,24,0,20,3894,0,1
1,5,0,32,2415,1,0
1,14,0,54,3948,2,0
1,1,0,104,937,0,0
0,0,0,62,187,0,0
1,8,0,33,4371,0,0
1,24,0,20,3895,0,1
0,0,1,73,838,0,0
1,24,0,20,3895,0,1
1,24,0,20,3895,0,1
1,24,0,20,3895,0,1
1,1,0,37,25011,1,0
1,24,0,20,3918,0,1
1,1,0,25,280,0,1
1,24,0,20,3918,0,1
0,0,0,63,188,0,0
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
1,24,0,20,3906,0,1
1,24,0,20,3894,0,1
1,24,0,20,3895,0,1
1,24,0,20,3894,0,1
1,1,0,38,345,0,1
1,24,0,20,3895,0,1
1,24,0,20,3895,0,1
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
1,1,0,38,285,0,1
0,0,0,62,187,0,0
0,0,1,28,992,0,0
0,0,0,64,1148,0,0
0,0,0,58,744,0,0
1,121,0,62,28723,3,0
0,0,0,57,183,0,0
1,1,0,29,289,0,1
1,1,0,29,338,0,1
1,24,0,20,3918,0,1
1,24,0,20,3895,0,1
1,24,0,20,3895,0,1
1,24,0,20,3895,0,1
0,0,0,24,239,0,1
1,24,0,20,3895,0,1
0,0,0,17,95,0,1
1,24,0,20,3918,0,1
0,0,0,17,726,0,0
1,1,0,43,73,0,1
1,24,0,20,3918,0,1
1,1,0,30,96,0,1
0,0,0,25,1280,0,0
0,0,0,74,69,0,1
1,1,0,24,114,0,1
1,1,0,70,70,0,1
1,2,0,32,167,0,1
1,23,0,50,3696,1,0
0,0,0,104,1669,0,0
1,24,0,20,3895,0,1
1,24,0,20,3889,0,1
1,24,0,20,3895,0,1
1,1,0,37,41412,2,0
0,0,0,104,1017,0,0
0,0,0,24,466,0,0
1,4,0,33,5838,2,0
1,24,0,20,3895,0,1
1,24,0,20,3893,0,1
1,1,0,30,836,1,0
1,24,0,20,3895,0,1
1,24,0,20,3918,0,1
1,24,0,20,3892,0,1
1,3,0,37,3462,0,0
1,1,0,37,201,0,1
1,24,0,20,3918,0,1
0,0,0,16,61,0,1
1,3,0,30,654,0,0
1,1,0,37,266,0,1
0,0,0,40,287,1,1
1,1,0,34,113,0,1
0,0,0,26,2134,2,0
1,1,0,39,72,0,1
1,24,0,20,3895,0,1
1,24,0,20,3895,0,1
1,1,0,27,345,0,1
1,24,0,20,3894,0,1
1,24,0,20,3895,0,1
0,0,0,26,1234,1,0
1,24,0,20,3895,0,1
0,0,0,26,2901,2,0
1,2,1,37,1256,0,0
0,0,0,26,648,1,0
0,0,0,26,580,0,0
1,3,0,44,879,1,0
1,2,0,37,1312,0,0
1,24,0,20,3895,0,1
1,24,0,20,3895,0,1
1,24,0,20,3895,0,1
1,24,0,20,3895,0,1
0,0,0,105,1334,0,0
1,24,0,20,3895,0,1
1,1,0,67,487,0,0
1,1,0,63,160,0,1
0,0,0,40,285,0,1
0,0,0,27,120,0,1
1,1,0,34,961,0,0
1,1,0,55,181,0,1
1,1,0,41,68,0,1
1,24,0,20,3918,0,1
0,0,0,47,256,1,1
1,1,0,39,78,0,1
1,2,1,37,1069,0,0
1,24,0,20,3895,0,1
1,1,0,39,283,0,1
1,1,0,30,645,0,1
1,24,0,20,3894,0,1
1,1,0,34,173,0,1
1,24,0,20,3891,0,1
0,0,0,24,342,0,0
1,1,0,27,385,1,1
1,2,0,39,378,0,0
1,2,0,33,143,0,1
0,0,0,17,983,0,0
0,0,0,87,2858,2,0
1,1,0,77,1035,0,0
1,24,0,20,3894,0,1
1,36,0,46,5439,4,0
1,24,0,20,3895,0,1
1,1,0,101,4600,0,0
1,2,1,60,2144,0,0
1,1,0,25,1300,0,0
1,1,0,23,208,2,1
1,24,0,20,3894,0,1
1,24,0,20,3895,0,1
1,24,0,20,3918,0,1
1,24,0,20,3895,0,1
0,0,0,19,73,0,1
1,30,0,41,12234,0,0
1,24,0,20,3918,0,1
1,2,0,43,198,0,1
1,24,0,20,3918,0,1
1,1,0,83,3094,0,0
0,0,0,49,32,0,1
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
1,1,0,34,93,0,1
1,4,0,64,2494,1,0
1,1,0,32,123,0,1
1,1,0,43,71,0,1
1,24,0,20,3918,0,1
1,1,0,25,282,0,1
1,24,0,20,3895,0,1
1,1,0,21,722,0,0
1,24,0,20,3892,0,1
0,0,0,26,51,0,1
1,4,0,86,2373,1,0
1,1,0,34,369,0,0
0,0,0,24,796,0,0
0,0,1,42,554,1,0
1,1,0,100,2886,0,0
1,1,0,24,1249,1,0
1,24,0,20,3895,0,1
1,24,0,20,3894,0,1
0,0,1,52,632,0,0
1,1,0,46,4020,0,0
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
0,0,0,16,205,0,1
1,1,0,44,661,0,0
0,0,0,27,1057,0,0
1,2,0,31,159,0,1
1,1,0,31,75,0,1
0,0,0,44,214,0,1
1,24,0,20,3895,0,1
1,24,0,20,3918,0,1
1,1,0,28,412,0,0
1,1,0,34,108,0,1
1,8,0,94,3256,1,0
1,24,0,20,3918,0,1
0,0,0,43,1749,0,0
1,1,0,35,91,0,1
1,24,0,20,3918,0,1
0,0,0,18,95,0,1
0,0,0,31,878,0,0
1,1,0,28,164,0,1
1,2,0,30,200,0,1
0,0,0,57,1535,1,0
1,1,0,30,71,0,1
1,1,0,42,98,0,1
1,1,0,55,12067,0,0
1,2,0,30,182,0,1
1,2,0,45,1825,0,0
0,0,1,34,399,0,0
1,1,0,28,371,0,0
1,1,0,40,823,0,0
1,1,0,30,168,0,1
1,24,0,20,3895,0,1
1,1,0,88,4051,1,0
1,3,0,41,6647,1,0
1,7,0,18,1626,3,0
1,1,0,28,1002,1,0
1,24,0,20,3895,0,1
1,24,0,20,3887,0,1
1,1,0,43,5329,0,0
1,2,0,33,182,0,1
1,1,0,30,94,0,1
1,2,0,77,694,0,0
1,2,0,38,185,0,1
1,2,0,39,141,0,1
1,1,0,50,173,0,1
1,53,0,30,9466,0,0
1,1,0,60,313,0,1
1,1,0,38,98,0,1
0,0,0,40,436,0,1
1,1,0,32,66,0,1
0,0,0,38,268,1,1
1,1,0,25,405,0,1
1,1,0,37,308,0,1
1,24,0,20,3894,0,1
1,1,0,32,66,0,1
1,24,0,20,3895,0,1
0,0,0,37,272,1,1
1,1,0,22,64,0,1
1,15,0,31,4909,1,0
0,0,0,54,268,1,1
1,1,1,24,277,0,1
0,0,0,16,450,0,1
1,1,0,46,507,0,1
1,1,0,30,443,0,0
1,1,0,34,191,0,1
1,1,0,29,222,0,1
1,1,0,16,224,0,1
1,1,0,24,93,0,1
0,0,0,25,226,0,0
1,1,0,22,111,1,1
1,24,0,20,3894,0,1
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
0,0,0,24,50,0,1
1,2,0,34,144,0,1
1,24,0,20,3918,0,1
1,1,0,36,337,0,1
1,1,0,65,7086,2,0
0,0,0,20,43,0,1
1,1,0,27,234,0,1
1,15,0,41,7189,0,0
1,1,0,33,498,3,0
0,0,0,28,290,0,0
1,1,0,28,562,0,0
0,0,0,35,386,0,0
1,1,0,27,72,0,1
1,4,0,64,1149,0,0
0,0,0,35,187,0,0
1,2,0,70,1960,0,0
1,24,0,20,3895,0,1
1,1,0,27,197,0,1
1,1,0,31,131,0,1
1,1,0,24,140,0,1
1,2,0,22,170,0,1
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
0,0,0,25,1089,2,0
1,1,0,44,189,0,1
1,2,0,42,163,0,1
1,2,0,38,5723,0,0
0,0,0,44,607,0,1
1,24,0,20,3918,0,1
0,0,0,24,3980,2,0
1,4,0,57,2596,0,0
1,1,0,27,404,0,1
0,0,0,28,607,1,0
0,0,0,9,470,1,0
0,0,0,25,1802,2,0
0,0,0,9,375,0,0
1,1,0,55,1755,0,0
1,1,0,9,1023,0,0
1,3,0,46,1134,1,0
0,0,0,31,1555,1,0
1,1,0,7,227,0,1
0,0,0,19,45,0,1
1,1,0,60,837,0,0
0,0,0,29,1205,0,0
1,1,0,41,269,0,1
1,1,0,38,200,1,1
1,24,0,20,3918,0,1
1,1,0,29,190,1,1
0,0,0,59,581,0,0
1,4,0,38,2317,1,0
1,24,0,20,3918,0,1
1,1,0,62,174,0,1
1,24,0,20,3918,0,1
1,1,0,39,62,0,1
1,1,0,71,564,0,0
1,1,0,45,472,0,1
1,1,0,49,218,0,1
1,24,0,20,3918,0,1
1,1,0,51,4427,2,0
1,2,0,26,2019,1,0
1,2,0,30,161,0,1
1,1,0,40,98,0,1
0,0,0,82,129,0,1
1,1,0,27,231,0,1
0,0,0,57,624,0,0
0,0,0,64,344,0,0
1,3,0,34,32821,1,0
0,0,0,34,150,0,0
1,1,0,35,952,0,0
1,1,0,40,1630,1,0
1,1,0,42,545,0,0
1,1,0,38,67,0,1
1,1,0,94,3230,0,0
0,0,0,60,129,0,1
1,1,0,32,120,0,1
0,0,0,31,1199,0,0
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
1,1,0,26,152,0,1
1,1,0,67,443,0,0
1,1,0,18,192,1,1
1,5,0,6,9175,2,0
1,24,0,20,3918,0,1
1,1,0,38,83,0,1
1,1,0,50,124,0,1
1,2,0,68,6582,0,0
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
1,1,0,53,978,0,0
1,1,0,38,94,0,1
1,24,0,20,3918,0,1
0,0,0,43,449,0,1
0,0,0,37,3373,0,0
1,3,0,22,4331,0,0
1,1,0,64,112,0,1
1,1,0,22,92,0,1
1,24,0,20,3918,0,1
1,1,0,34,171,0,1
1,2,0,20,2093,1,0
1,0,0,52,4739,1,0
1,1,0,86,442,0,0
1,10,0,32,7298,1,0
0,0,0,24,363,1,0
1,1,0,31,701,1,0
1,2,0,49,589,0,0
1,2,0,68,3167,0,0
1,1,0,16,544,0,1
1,1,0,68,3912,0,0
1,0,0,3,533,0,1
1,1,0,49,150,0,1
1,1,0,19,330,3,1
1,1,0,78,228,0,0
0,0,0,31,513,0,0
1,1,0,48,218,0,1
1,1,0,44,150,0,1
1,24,0,20,3918,0,1
1,1,0,41,86,0,1
0,0,0,43,851,0,0
1,1,0,43,67,0,1
1,24,0,20,3889,0,1
1,0,0,3,538,0,1
1,1,0,32,103,0,1
1,1,0,27,193,0,1
0,0,0,51,1177,0,0
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
0,0,0,41,1348,3,1
1,1,0,43,93,0,1
0,0,0,47,1092,0,0
1,2,0,39,153,0,1
1,1,0,10,114,1,1
1,24,0,20,3890,0,1
0,0,0,28,393,0,0
1,11,0,65,4908,0,0
0,0,0,47,1058,1,0
1,2,0,51,879,0,0
1,1,0,65,1106,0,0
0,0,0,47,1589,0,0
0,0,0,28,3231,1,0
1,3,0,55,967,2,0
1,17,0,52,6515,1,0
0,0,0,18,1987,2,0
0,0,0,25,107,0,1
1,1,0,38,99,0,1
1,1,0,40,253,0,1
1,1,0,55,225,0,1
0,0,0,47,867,0,0
1,1,0,48,212,0,1
1,24,0,20,3918,0,1
0,0,0,25,2907,0,0
1,2,0,32,140,0,1
1,2,0,73,954,0,0
1,1,0,42,116,0,1
1,1,0,22,64,0,1
1,1,0,16,218,0,1
1,24,0,20,3918,0,1
1,1,0,48,172,0,1
1,24,0,20,3918,0,1
1,1,0,86,866,0,0
1,1,0,41,111,0,1
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
0,0,0,47,3310,0,0
1,1,0,27,153,0,1
1,1,0,96,341,0,0
1,1,0,33,643,0,1
1,1,0,22,115,0,1
1,2,0,60,1500,0,0
1,1,1,30,161,1,0
1,2,0,66,1059,1,0
0,0,0,33,750,0,0
1,1,0,71,1424,0,0
0,0,0,47,1071,0,0
1,1,0,71,459,0,0
1,1,0,22,154,0,1
1,24,0,20,3893,0,1
1,1,0,68,7382,0,0
1,24,0,20,3894,0,1
1,24,0,20,3918,0,1
1,1,0,57,870,0,0
1,1,0,41,1065,1,1
1,1,0,23,156,0,1
0,0,0,70,1206,2,0
1,24,0,20,3918,0,1
1,1,0,43,71,0,1
1,1,0,27,129,0,1
1,24,0,20,3918,0,1
1,3,0,74,3960,2,0
1,24,0,20,3895,0,1
1,24,0,20,3895,0,1
1,1,0,31,103,0,1
1,24,0,20,3891,0,1
1,24,0,20,3918,0,1
0,0,0,47,1360,0,0
1,2,0,41,171,0,1
0,0,0,26,170,0,1
0,0,0,29,302,0,0
1,1,0,71,2208,0,0
1,1,0,101,1910,0,0
0,0,0,21,979,0,0
1,1,0,31,1143,1,0
0,0,0,21,447,0,0
1,1,0,30,480,1,0
0,0,0,47,1843,0,0
1,24,0,20,3918,0,1
1,1,0,52,177,0,1
1,1,0,71,559,0,0
1,24,0,20,3895,0,1
1,24,0,20,3918,0,1
1,24,0,20,3895,0,1
1,24,0,20,3895,0,1
1,1,0,49,691,0,0
1,1,0,24,102,0,1
1,1,0,34,155,0,1
1,4,0,93,6226,0,0
1,1,0,33,575,0,1
1,1,0,30,173,0,1
1,2,0,37,1047,1,0
1,1,0,50,182,0,1
1,1,0,26,220,1,1
1,1,0,37,57732,1,0
1,1,0,39,208,0,1
1,24,0,20,3894,0,1
1,24,0,20,3918,0,1
1,24,0,20,3894,0,1
1,24,0,20,3895,0,1
0,0,0,61,9456,2,0
1,24,0,20,3905,0,1
1,24,0,20,3905,0,1
1,24,0,20,3895,0,1
1,24,0,20,3895,0,1
1,24,0,20,3895,0,1
1,24,0,20,3895,0,1
1,1,0,31,100,0,1
1,24,0,20,3918,0,1
1,2,0,41,172,0,1
1,1,0,27,72,0,1
1,1,0,64,8372,0,0
1,24,0,20,3894,0,1
1,24,0,20,3894,0,1
0,0,0,52,261,1,1
0,0,0,37,32888,2,0
1,1,0,22,317,0,0
1,24,0,20,3894,0,1
1,2,0,42,394,0,0
0,0,0,31,1957,1,0
1,24,0,20,3894,0,1
0,0,0,29,4585,1,0
1,1,0,71,2618,0,0
1,1,0,37,43434,1,0
1,2,1,39,422,0,1
0,0,0,22,51,0,1
1,1,0,35,332,0,1
1,1,0,34,1562,0,0
1,1,0,42,126,0,1
1,24,0,20,3918,0,1
1,1,0,43,179,0,1
1,24,0,20,3918,0,1
1,1,0,37,12931,1,0
1,24,0,20,3895,0,1
1,24,0,20,3918,0,1
1,24,0,20,3895,0,1
0,0,0,41,1504,2,1
1,24,0,20,3894,0,1
0,0,0,110,2961,0,0
0,0,0,13,438,0,1
1,24,0,20,3895,0,1
1,24,0,20,3918,0,1
1,0,0,70,5217,1,0
1,2,0,32,364,0,0
1,1,0,67,3241,2,0
1,1,0,36,1051,0,0
0,0,0,26,827,1,0
1,1,0,37,29448,1,0
1,24,0,20,3894,0,1
1,24,0,20,3894,0,1
1,1,0,26,970,1,0
1,24,0,20,3894,0,1
1,1,0,45,473,0,0
1,1,0,37,32711,0,0
1,1,0,67,152,1,1
1,24,0,20,3918,0,1
0,0,0,41,164,1,1
1,1,0,37,32434,0,0
1,1,0,35,112,0,1
1,1,0,60,207,0,1
1,1,0,24,103,0,1
1,24,0,20,3894,0,1
1,4,0,28,1237,1,0
1,24,0,20,3918,0,1
1,24,0,20,3895,0,1
1,24,0,20,3918,0,1
1,24,0,20,3894,0,1
1,1,0,6,31,0,1
1,1,0,64,180,1,1
1,24,0,20,3895,0,1
1,1,0,22,507,0,0
1,1,0,40,320,0,1
1,1,0,52,207,0,1
1,1,0,37,46313,1,0
1,1,0,35,112,0,1
1,24,0,20,3918,0,1
1,1,0,38,112,0,1
1,1,0,56,802,0,0
0,0,0,29,2736,0,0
0,0,1,39,1292,0,0
1,1,0,46,316,0,0
1,24,0,20,3895,0,1
1,24,0,20,3903,0,1
1,24,0,20,3894,0,1
0,0,0,31,2016,1,0
1,1,0,37,29201,1,0
0,0,0,51,5053,2,0
1,1,1,80,770,0,0
1,24,0,20,3918,0,1
1,1,0,21,287,0,1
1,24,0,20,3895,0,1
1,24,0,20,3918,0,1
1,24,0,20,3894,0,1
0,0,0,31,4374,2,0
1,24,0,20,3895,0,1
0,0,0,67,89,0,1
1,24,0,20,3895,0,1
0,0,0,60,129,0,1
1,1,0,27,225,0,1
1,1,0,60,478,0,1
1,1,0,168,4689,0,0
1,1,0,38,96,0,1
0,0,0,26,2019,1,0
0,0,0,48,2237,0,0
1,24,0,20,3918,0,1
1,1,0,62,956,1,1
1,24,0,20,3894,0,1
1,24,0,20,3918,0,1
1,2,0,49,325,0,0
1,1,0,52,575,0,0
1,1,0,49,1326,0,0
0,0,1,56,2390,1,0
1,1,0,69,1362,0,0
1,24,0,20,3895,0,1
1,2,0,38,6140,0,0
1,24,0,20,3895,0,1
1,1,0,31,653,0,0
0,0,0,26,1579,1,0
0,0,0,31,542,0,0
1,24,0,20,3894,0,1
0,0,0,56,516,0,0
1,1,0,27,198,0,1
0,0,0,31,381,0,0
1,1,0,30,243,0,1
0,0,0,16,330,0,1
1,24,0,20,3918,0,1
0,0,0,18,266,0,1
1,10,0,33,5305,0,0
1,1,1,28,442,0,0
1,24,0,20,3903,0,1
0,0,0,31,183,1,1
1,1,0,26,163,0,1
1,24,0,20,3896,0,1
1,1,0,50,144,0,1
1,2,0,38,6615,0,0
0,0,0,32,441,0,0
1,2,0,30,3295,1,0
1,1,0,77,714,0,0
1,1,0,44,1361,0,0
1,1,0,47,940,0,0
1,2,0,80,460,0,0
1,2,0,32,363,0,0
1,1,0,47,826,0,0
1,1,0,27,76,0,1
1,24,0,20,3918,0,1
1,1,0,29,933,0,0
1,1,0,80,2459,1,0
1,1,0,44,190,0,1
0,0,0,28,113,1,1
0,0,0,66,50,0,1
0,0,0,43,2576,0,0
1,1,0,10,110,1,1
0,0,0,53,275,1,1
1,2,0,38,6914,0,0
1,1,0,30,169,0,1
1,2,1,62,630,0,1
1,7,0,39,1410,0,0
1,24,0,20,3918,0,1
1,1,0,100,1839,0,0
1,2,0,29,355,0,0
0,0,0,16,4099,2,0
1,12,0,37,2485,0,0
0,0,1,77,276,0,0
1,1,0,37,43772,1,0
1,1,1,30,560,1,0
1,1,0,54,850,0,0
1,1,0,33,180,0,1
1,1,0,30,223,0,1
1,1,0,139,6100,0,0
1,24,0,20,3918,0,1
0,0,0,27,266,1,1
1,2,0,39,3141,0,0
1,1,0,64,307,0,1
1,1,0,55,224,0,1
0,0,0,24,1297,0,0
1,24,0,20,3918,0,1
1,2,0,29,4291,1,0
0,0,0,17,74,0,1
0,0,0,41,1348,3,1
0,0,0,13,78,0,1
0,0,0,15,230,0,1
1,1,0,33,574,0,1
1,4,0,39,3386,0,0
1,24,0,20,3918,0,1
1,1,0,23,316,0,1
1,1,0,30,188,0,1
0,0,0,41,1348,3,1
0,0,0,42,1883,0,0
0,0,0,58,832,0,0
0,0,0,46,3038,0,0
0,0,0,75,1683,0,0
1,1,0,37,50469,1,0
1,3,0,64,4517,0,0
0,0,0,31,1119,0,0
1,1,0,37,27795,2,0
1,10,0,33,4813,0,0
1,1,0,46,237,0,1
0,0,0,31,481,0,1
0,0,0,70,1145,0,0
1,24,0,20,3918,0,1
1,2,1,32,3335,0,0
0,0,0,57,83,0,1
1,2,0,17,995,0,0
1,1,0,27,1851,0,1
0,0,0,25,111,0,1
1,6,0,30,4526,1,0
1,2,0,41,183,0,1
1,1,0,31,104,0,1
1,2,1,36,4085,0,0
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
0,0,1,36,319,0,0
1,1,0,24,470,0,1
1,1,0,30,3917,1,0
1,1,0,30,68,0,1
0,0,0,26,998,2,0
0,0,0,31,2292,0,0
1,2,1,30,430,0,0
1,1,0,37,33862,1,0
0,0,0,84,2341,0,0
1,2,0,60,1698,0,0
1,2,0,50,1186,1,0
1,3,1,44,508,0,0
1,1,0,50,170,0,1
1,24,0,20,3918,0,1
0,0,0,45,252,0,1
1,1,0,37,6574,1,0
0,0,0,38,463,0,1
1,2,0,36,3822,0,0
1,1,0,30,202,0,1
1,24,0,20,3918,0,1
1,1,0,55,197,1,1
1,1,0,28,424,0,0
1,1,0,62,259,0,1
1,1,0,30,251,0,1
1,2,0,54,1538,0,0
0,0,0,11,717,0,0
1,1,0,41,213,0,1
0,0,0,23,77,0,1
1,1,0,18,176,0,1
1,24,0,20,3918,0,1
0,0,0,41,1348,3,1
0,0,0,84,3408,0,0
1,1,0,32,107,0,1
1,24,0,20,3918,0,1
0,0,0,24,343,1,1
1,1,0,24,744,0,0
0,0,1,58,784,1,0
0,0,0,46,518,0,0
1,24,0,20,3895,0,1
0,0,1,54,411,0,0
0,0,0,53,1197,0,0
1,1,0,134,3085,0,0
1,1,0,71,3262,0,0
